src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(123,2): error TS1005: ',' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(123,4): error TS1109: Expression expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(124,40): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(124,70): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(124,94): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(127,32): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(127,51): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(127,66): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(128,34): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(128,55): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(128,73): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(129,40): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(129,63): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(129,82): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(130,34): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(130,56): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(130,73): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(131,30): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(131,53): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(131,67): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(132,32): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(132,55): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(132,70): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(133,32): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(133,62): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(133,72): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(134,34): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(134,62): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(134,78): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(135,40): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(135,60): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(135,79): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(136,40): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(136,64): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(136,83): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(137,44): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(137,66): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(137,82): error TS1128: Declaration or statement expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(138,40): error TS1005: ';' expected.
src/features/dashboard/views/workspace/WorkspaceDashboardView.tsx(138,62): error TS1005: ';' expected.
